Nombre de la ciudad,Universidad en la ciudad,Hospital en la ciudad,Coordenadas
New Donnaborough,"Chavez, Maldonado and Novak University",Neal-Pennington Hospital,"(-4.17, -53.72)"
Karenfort,"Ruiz, Marshall and Underwood University",Morales-Rosales Hospital,"(-8.9, -52.37)"
North Dianachester,Gay Inc University,"Bryant, Boyd and Ramirez Hospital","(-8.3, -58.96)"
Craigton,Paul Inc University,Young-Perkins Hospital,"(-8.6, -53.12)"
Aliciafurt,"Gibson, Richards and Boyd University","Dean, Jackson and Perry Hospital","(-0.58, -58.43)"
Lake Aimee,Lopez-Waters University,Stanley-Morse Hospital,"(0.3, -54.07)"
Stevenburgh,Macias Ltd University,"Butler, Lam and Hernandez Hospital","(0.63, -55.11)"
Lake Leslieshire,"Rogers, Torres and Pearson University","Nichols, Reyes and Mccullough Hospital","(-11.13, -51.24)"
Lake Jodi,"Burns, Flores and Deleon University",Brewer-Clark Hospital,"(2.28, -58.62)"
Whiteberg,Stokes-Bailey University,"Bell, Patterson and Thompson Hospital","(-13.15, -57.2)"
Tateport,Valdez-Fitzgerald University,Reed Inc Hospital,"(-0.15, -56.04)"
East Tonya,Scott-Hernandez University,Cunningham-Hood Hospital,"(-1.7, -55.83)"
South Jerrytown,Thompson LLC University,"Murray, Ramsey and Francis Hospital","(2.84, -54.63)"
West Toddport,Hurley-Walker University,Taylor-Tran Hospital,"(-6.2, -58.43)"
Jonathanland,Stark Group University,Butler and Sons Hospital,"(-13.45, -54.25)"
New Tiffany,Jones Inc University,"Clark, Ball and Sherman Hospital","(2.85, -54.89)"
Beckybury,Parker LLC University,Green Group Hospital,"(-14.6, -51.3)"
Thompsonville,"Terry, Lewis and Ingram University",Williams-Williams Hospital,"(-7.89, -50.1)"
Robinsonland,"Anderson, Jackson and Cooper University",Arnold-Hernandez Hospital,"(-9.66, -58.48)"
Jeffreyview,Carter and Sons University,Acevedo LLC Hospital,"(-13.31, -57.61)"
