ID_Cultivo,Nombre_Cultivo,Fecha_Siembra,Fecha_Cosecha,Ubicación_Parcela,Tipo_Suelo,pH_Suelo,Humedad_Suelo,Temperatura_Aire,Precipitación_Total,Horas_Sol,Fertilizante_Usado,Pesticida_Usado,Riego_Aplicado,Rendimiento_Cosecha,Calidad_Cosecha,Enfermedades_Presentes,Plagas_Presentes,Método_Cultivo,Variedad_Semilla
CUL001,Arroz,2024-04-30,2024-04-15,"-41.6463275, 134.388437",Franco,5.6,56.2,33.5,741.1,,NPK,Organofosforado,781.6,4323.7,Regular,quod,,Hidropónico,dolorem
CUL002,Papa,2024-06-29,2024-09-14,"-44.972532, 124.912308",Calizo,5.7,40.6,19.8,490.6,2973.0,Urea,Piretroide,727.3,4338.7,Excelente,,est,Orgánico,quia
CUL003,Trigo,2024-05-12,2024-06-19,"60.272822, -160.891433",Calizo,7.1,65.0,22.6,403.7,2361.2,Urea,Glifosato,589.2,1118.2,Excelente,fugit,,Hidropónico,ad
CUL004,Arroz,2024-10-26,2024-08-17,"34.741048, 140.471136",Arenoso,4.8,77.0,23.5,256.4,2892.7,Urea,Glifosato,145.3,2552.6,Buena,voluptas,,Orgánico,amet
CUL005,Maíz,2025-01-04,2024-07-06,"69.832367, 28.350884",,7.0,19.4,15.7,217.2,1793.9,Fosfato,Carbamato,520.1,1610.2,Excelente,consequuntur,,Hidropónico,fugit
CUL006,Soja,2024-12-02,,"-35.4774665, -92.137901",Arenoso,7.3,12.7,34.8,984.2,2369.0,NPK,Organofosforado,701.4,1703.4,Regular,temporibus,,Convencional,illum
CUL007,Soja,2024-11-10,2025-04-19,"88.621522, 51.700049",Calizo,7.0,,23.0,397.5,2266.4,Fosfato,Piretroide,420.8,2742.1,Regular,,,Orgánico,qui
CUL008,Papa,2024-10-26,2024-12-20,"-62.122884, 111.792648",Calizo,7.0,16.0,,199.8,1465.6,Urea,Piretroide,872.9,3275.5,Buena,praesentium,commodi,,reiciendis
CUL009,Trigo,2024-08-31,2024-08-08,"6.0241315, -104.898320",Calizo,5.5,47.8,30.5,132.3,2572.8,Fosfato,Carbamato,950.9,4868.7,Buena,,,Convencional,ratione
CUL010,Papa,2025-01-16,2024-10-03,"-0.723729, 154.260695",Arcilloso,7.4,48.8,25.4,366.0,1465.1,NPK,Piretroide,,4130.4,Buena,fugiat,,Orgánico,excepturi
CUL011,Trigo,2024-02-23,2024-07-22,"-26.006061, 53.260454",Arcilloso,5.9,65.3,25.3,725.3,1393.8,NPK,Carbamato,354.6,2321.5,Excelente,culpa,voluptatum,Hidropónico,cum
CUL012,Trigo,2024-05-27,2024-10-31,"30.6109935, -171.521368",Arenoso,6.4,59.5,29.8,,2411.1,Fosfato,Piretroide,294.9,4121.5,Buena,quia,,Hidropónico,dolorem
CUL013,Soja,2024-07-21,2024-09-08,"-12.4685185, 159.036533",Franco,4.3,46.7,31.7,330.0,1256.0,Fosfato,Piretroide,392.9,1309.1,Excelente,,,Orgánico,repellendus
CUL014,Soja,2024-05-12,2024-07-03,"3.268190, 165.098902",Calizo,4.5,24.4,22.9,333.9,2925.7,Urea,Organofosforado,569.4,1538.9,Regular,,et,Hidropónico,quam
CUL015,Maíz,2024-05-08,2024-11-20,"45.2085805, 21.149306",Calizo,6.0,30.4,22.1,834.5,1811.4,NPK,Organofosforado,633.6,4578.7,Regular,nihil,,Convencional,voluptate
CUL016,Maíz,2025-01-18,2024-10-07,"-76.386854, -104.665810",Franco,7.3,37.1,23.4,995.5,1462.5,Fosfato,Carbamato,952.4,3032.6,,enim,,Orgánico,natus
CUL017,Trigo,2024-05-03,2024-07-25,"-23.2990725, -165.303169",Franco,7.0,38.2,33.6,506.9,1423.4,,Piretroide,933.9,2663.2,Buena,,,Convencional,sed
CUL018,Trigo,2024-06-18,2024-07-09,"77.2019125, 38.190627",Calizo,5.3,63.2,29.4,899.3,1502.2,NPK,Organofosforado,551.0,2313.5,Regular,,,Orgánico,odio
CUL019,Arroz,2024-02-12,2024-06-09,"6.7088195, -72.487647",Arenoso,5.3,63.7,26.2,290.3,2960.4,Potasio,Glifosato,536.7,2357.3,Excelente,beatae,nostrum,Orgánico,a
CUL020,Papa,2024-12-10,2024-11-15,"-22.2184225, -9.332065",Arcilloso,5.6,41.7,32.5,297.9,1745.3,Urea,Glifosato,764.0,4852.6,Buena,,,Orgánico,sint
CUL021,Soja,,2024-03-20,,Arenoso,,45.3,25.7,427.5,1217.9,Urea,Piretroide,278.5,1533.4,Excelente,,,Hidropónico,quasi
CUL022,Maíz,2024-11-27,,"55.0710755, 61.437107",Arcilloso,4.9,13.6,29.6,222.7,2971.6,Urea,Glifosato,,2297.6,Excelente,,tempora,Hidropónico,aliquam
CUL023,Arroz,2024-09-03,2024-10-19,"0.7761615, -5.459180",Calizo,6.2,69.8,23.0,726.4,2399.4,NPK,Organofosforado,283.5,1717.4,Excelente,exercitationem,,Convencional,itaque
CUL024,Maíz,2024-02-20,2025-02-10,,Arcilloso,4.4,45.3,31.4,297.4,2227.5,Potasio,Carbamato,,,Buena,,,Convencional,corporis
CUL025,Maíz,2024-09-18,2025-01-13,"-48.159710, 160.442825",Arcilloso,7.1,60.9,25.7,346.1,1504.8,NPK,Piretroide,716.4,4046.4,Buena,,,Convencional,odio
CUL026,Trigo,2024-04-30,2024-12-21,"61.655686, 129.134200",Calizo,6.6,49.7,21.0,219.7,1422.2,NPK,Glifosato,168.1,4335.1,Excelente,,,Hidropónico,ab
CUL027,Soja,2024-11-12,2025-03-18,"-64.5474005, 19.060841",Arcilloso,4.2,61.1,,261.2,1798.0,Urea,Piretroide,352.9,1727.6,Buena,voluptatem,,Hidropónico,dolorem
CUL028,Arroz,2025-01-11,2025-02-07,"22.1201525, -83.384700",Franco,4.1,11.7,21.5,776.9,1708.9,Potasio,Piretroide,542.5,2921.7,Buena,blanditiis,,Orgánico,quasi
CUL029,Soja,2025-01-05,2025-02-10,"-56.0637645, -42.522405",Arcilloso,5.8,42.3,22.7,404.1,2210.1,Urea,Piretroide,970.1,1403.2,Regular,,totam,Hidropónico,cupiditate
CUL030,Soja,2024-12-01,2024-09-02,"14.4187995, -68.827524",Arenoso,7.6,70.7,15.9,302.1,2154.0,Fosfato,Piretroide,493.6,4446.8,Excelente,,,Convencional,a
CUL031,Papa,2024-08-27,2025-04-06,"-40.660477, -68.257455",Calizo,5.4,69.3,29.8,473.7,2230.3,Potasio,Organofosforado,338.4,2035.2,Regular,molestiae,,Hidropónico,dolores
CUL032,Arroz,2024-12-17,2024-11-18,"14.867403, -4.051465",,6.2,45.6,17.0,933.6,2631.0,Urea,Piretroide,845.2,2504.5,Buena,corporis,,Hidropónico,quam
CUL033,,2025-01-27,2025-01-31,"-48.7771225, -174.197925",Arcilloso,5.7,31.0,18.9,363.4,,NPK,Glifosato,306.0,3630.4,Buena,,,Hidropónico,possimus
CUL034,Arroz,2024-07-19,2025-06-06,"-63.7866005, -80.127280",Calizo,7.2,77.3,32.1,251.5,2761.6,,Organofosforado,120.9,1119.4,Excelente,perferendis,saepe,Convencional,
CUL035,Papa,2024-06-01,2024-07-21,"-35.229638, 3.535932",Franco,5.4,40.6,31.2,573.2,2050.4,NPK,Organofosforado,867.7,1308.6,Regular,,,Convencional,
CUL036,Trigo,2024-08-30,2024-09-15,"-19.8757865, -102.062832",Calizo,4.2,23.7,34.4,369.8,1170.0,Potasio,Organofosforado,275.4,3015.7,Buena,,,Orgánico,natus
CUL037,Arroz,2024-03-07,2025-02-07,"61.737760, -111.081804",Arenoso,7.4,67.0,28.0,164.9,1022.4,NPK,Glifosato,939.0,2596.2,Regular,,ipsam,Convencional,molestiae
CUL038,Arroz,2024-11-22,2025-01-16,"31.433883, 2.077679",Arcilloso,6.9,25.9,24.3,407.8,1543.0,Urea,Carbamato,473.8,2372.7,Excelente,nam,,Convencional,magni
CUL039,Soja,2024-03-29,2025-03-07,"76.682150, -36.708381",Arcilloso,7.3,35.0,23.7,433.4,2586.4,Potasio,Glifosato,642.5,3547.6,Buena,,,Hidropónico,voluptatibus
CUL040,Maíz,2024-05-25,2025-03-17,"37.022429, 22.220699",Arenoso,4.4,,17.1,586.8,2606.4,Fosfato,Organofosforado,860.7,4425.7,Regular,,libero,Orgánico,
CUL041,Trigo,2024-06-20,2025-02-22,"51.830181, -167.719505",Calizo,6.1,72.4,29.1,334.6,2553.9,NPK,Carbamato,151.1,2233.4,Excelente,,praesentium,Hidropónico,numquam
CUL042,,2024-05-29,2024-11-27,"-70.2722215, -111.195682",Arcilloso,6.1,63.3,,746.9,1047.9,Urea,,322.1,4814.8,Excelente,,quidem,Hidropónico,cumque
CUL043,Maíz,2025-02-09,2024-06-22,"-12.7709545, -100.948520",,7.5,55.4,21.5,330.7,2851.5,NPK,Glifosato,764.1,1841.5,Regular,,,Convencional,debitis
CUL044,Trigo,2024-03-09,2024-08-01,"0.9696035, -75.739451",Calizo,6.5,49.6,15.8,859.2,2936.3,NPK,Organofosforado,662.0,1741.9,Excelente,,,Hidropónico,magnam
CUL045,Papa,2024-02-21,2024-08-27,"-20.083700, 37.528300",Arcilloso,6.9,61.2,24.5,415.4,1698.1,NPK,Glifosato,263.7,4111.7,Buena,,molestiae,Convencional,architecto
CUL046,Papa,2024-03-25,2024-08-19,"41.6152715, 141.373921",Arcilloso,6.5,40.8,22.1,423.6,2176.0,Fosfato,Organofosforado,427.0,2922.6,Buena,,,Convencional,eos
CUL047,Papa,2024-05-17,2024-10-08,"73.2891545, -27.636850",Arenoso,6.8,43.6,31.9,643.2,1624.5,NPK,Glifosato,585.8,1903.4,Buena,,,,cum
CUL048,Soja,2024-04-22,2025-01-03,"-25.8263755, -11.130718",Arenoso,6.0,50.9,18.2,132.9,2840.2,Fosfato,Piretroide,408.4,1073.0,Buena,,,Orgánico,sequi
CUL049,Arroz,2024-06-06,2024-12-27,"53.9365155, -141.779356",Calizo,6.8,51.6,,376.5,2046.5,Fosfato,Organofosforado,286.7,1403.5,Buena,explicabo,ipsa,,consequuntur
CUL050,Maíz,2024-07-08,2024-08-28,"-15.523675, 95.097144",Calizo,6.2,56.6,24.6,920.7,2779.3,Urea,Carbamato,712.4,2386.4,Buena,,reprehenderit,Hidropónico,iusto
CUL051,Maíz,2025-01-23,2024-12-10,"-57.019023, -2.708892",Calizo,7.1,65.4,16.3,191.4,1799.0,NPK,Carbamato,219.6,3778.7,Buena,,ullam,Orgánico,optio
